 "topic_name" , "topic_uri" , "event_uri" , "content_uri" ,
 "Semantic Web" , "https://dbpedia.org/resource/Semantic_Web" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Slides/slides03.pdf" ,
 "FOAF" , "http://dbpedia.org/resource/FOAF_(ontology)" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Worksheets/worksheet02.pdf" ,
 "N-Triples" , "https://dbpedia.org/resource/N-Triples" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Worksheets/worksheet02.pdf" ,
 "rdfs" , "https://dbpedia.org/resource/RDF_Schema" , "http://example.org/5484_Lec_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%203/Lectures/Worksheets/worksheet02.pdf" ,
 "irreflexive" , "https://dbpedia.org/resource/Reflexive_relation" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "RDFS" , "https://dbpedia.org/resource/RDF_Schema" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Amazon AWS" , "https://dbpedia.org/resource/Amazon_Web_Services" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "Open Biomedical Ontologies Foundry" , "https://dbpedia.org/resource/OBO_Foundry" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "The Glass Palace" , "https://dbpedia.org/resource/The_Glass_Palace" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "UTF-8" , "https://dbpedia.org/resource/UTF-8" , "http://example.org/5484_Lec_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
