 "course" , "outline" ,
 "http://example.org/5484" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Outline/course_outline_comp474_6741_w2021.pdf" ,
 "http://example.org/32005" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/SOEN321/Outline/Outline.pdf" ,
